,offensiveness_score,offensiveness_score_norm
2348,4.927965362342492,0.2346650172544044
711,0.0,0.0
172,0.0,0.0
485,3.265526741676701,0.19208980833392358
91,0.0,0.0
1969,9.293038790420782,0.35742456886233775
1958,5.828441047389978,0.2914220523694989
2859,0.0,0.0
2782,0.0,0.0
1129,0.0,0.0
757,3.2474037304569374,0.16237018652284688
2955,8.025010237709047,0.40125051188545235
822,0.0,0.0
2541,5.0,0.3333333333333333
1956,3.4203056878458904,0.21376910549036815
1493,0.0,0.0
904,4.941634229494401,0.22461973770429094
910,3.0123171296577484,0.18826982060360928
89,0.0,0.0
1131,0.0,0.0
1512,5.472187941799574,0.4209375339845826
1442,0.0,0.0
1367,2.3061934850692607,0.2096539531881146
2841,0.0,0.0
1066,0.0,0.0
2761,2.328203400395945,0.13695314119976149
683,0.0,0.0
495,0.0,0.0
705,3.1269737172134215,0.4467105310304888
131,0.0,0.0
2403,0.0,0.0
379,0.0,0.0
1126,0.0,0.0
70,0.0,0.0
2963,2.231266790104497,0.13125098765320573
1998,0.0,0.0
1479,0.0,0.0
2160,0.0,0.0
471,0.0,0.0
2186,0.0,0.0
2922,3.265526741676701,0.2040954213547938
2223,0.0,0.0
1570,0.0,0.0
1929,1.839097345672532,0.09195486728362659
2141,0.0,0.0
632,0.0,0.0
1814,0.0,0.0
3024,0.0,0.0
2832,0.0,0.0
1762,1.8406091149739743,0.09687416394599864
169,0.0,0.0
1444,0.0,0.0
684,8.153321375197063,0.5095825859498164
535,0.0,0.0
1382,0.0,0.0
1350,2.004138763183092,0.15416452024485322
78,0.0,0.0
1308,0.0,0.0
2068,0.0,0.0
1476,0.0,0.0
2751,0.0,0.0
1431,0.0,0.0
416,0.0,0.0
1061,6.199574268167336,0.5166311890139447
931,0.0,0.0
1325,1.898293458798092,0.07301128687684968
26,0.0,0.0
1443,3.63644870460134,0.21390874732949058
1535,0.0,0.0
582,0.0,0.0
1867,0.0,0.0
3040,3.2930387904207827,0.15681137097241823
2285,3.2930387904207827,0.21953591936138553
19,0.0,0.0
1850,4.731971447288265,0.23659857236441323
38,0.0,0.0
2544,5.0,0.2777777777777778
1389,0.0,0.0
3009,0.0,0.0
2329,0.0,0.0
934,3.468049178616482,0.1926693988120268
502,0.0,0.0
789,3.265526741676701,0.3265526741676701
710,2.0775739778010367,0.13850493185340246
2283,0.0,0.0
1139,0.0,0.0
79,0.0,0.0
1266,6.110504604800562,0.2444201841920225
2558,0.0,0.0
2291,5.468626864912196,0.32168393323012917
633,5.0,0.45454545454545453
1222,0.0,0.0
8,0.0,0.0
216,0.0,0.0
1842,0.0,0.0
2132,0.0,0.0
2552,0.0,0.0
298,3.153321375197062,0.10873521983438145
2800,3.2930387904207827,0.16465193952103913
429,0.0,0.0
257,0.0,0.0
2685,0.0,0.0
2612,0.0,0.0
1149,0.0,0.0
2509,0.0,0.0
1233,0.0,0.0
2497,0.0,0.0
1915,0.0,0.0
1536,0.0,0.0
614,0.0,0.0
2670,0.0,0.0
1613,4.434578609427518,0.3411214314944245
2943,0.0,0.0
3019,0.0,0.0
2336,13.24683128370306,0.5759491862479591
642,0.0,0.0
649,2.563243689437794,0.09858629574760745
2272,0.0,0.0
2021,0.0,0.0
1288,0.0,0.0
461,0.0,0.0
2914,0.0,0.0
1577,0.0,0.0
347,0.0,0.0
1533,0.0,0.0
1955,3.2930387904207827,0.14317559958351228
1726,2.3061934850692607,0.2096539531881146
260,0.0,0.0
1154,0.0,0.0
687,0.0,0.0
1796,7.466593254992744,0.3393906024996702
553,0.0,0.0
2842,0.0,0.0
2770,0.0,0.0
2813,3.2930387904207827,0.193708164142399
2529,3.1163875440793407,0.12465550176317362
396,0.0,0.0
2049,3.2930387904207827,0.18294659946782127
1447,0.0,0.0
816,0.0,0.0
1597,0.0,0.0
2358,0.0,0.0
1914,0.0,0.0
2300,3.0811137836446236,0.1400506265293011
2498,0.0,0.0
2700,0.0,0.0
2546,0.0,0.0
388,0.0,0.0
2037,0.0,0.0
231,3.893380783098075,0.155735231323923
1657,3.468049178616482,0.18252890413770959
2667,1.8506680113984517,0.1542223342832043
2510,0.0,0.0
1844,5.0,0.2631578947368421
2973,3.2930387904207827,0.16465193952103913
1646,0.0,0.0
2726,0.0,0.0
1191,0.0,0.0
358,0.0,0.0
2047,0.0,0.0
761,0.0,0.0
2606,0.0,0.0
639,4.731971447288265,0.23659857236441323
940,0.0,0.0
1491,0.0,0.0
1260,0.0,0.0
3015,3.153321375197062,0.1751845208442812
244,0.0,0.0
968,10.506197362951754,0.5529577559448292
304,5.657108934715194,0.35356930841969963
2062,0.0,0.0
3030,0.0,0.0
2451,4.731971447288265,0.20573788901253326
2820,0.0,0.0
1264,0.0,0.0
329,0.0,0.0
2191,2.9733861996363267,0.1564940105071751
1255,5.270688188761038,0.2108275275504415
2138,0.0,0.0
782,0.0,0.0
747,0.0,0.0
2534,0.0,0.0
544,0.0,0.0
2889,1.9788087938916301,0.12367554961822688
1074,0.0,0.0
2124,0.0,0.0
1324,0.0,0.0
525,0.0,0.0
742,0.0,0.0
2852,0.0,0.0
2540,5.0,0.38461538461538464
1045,0.0,0.0
3010,0.0,0.0
310,16.490496586800475,0.5889463066714455
997,0.0,0.0
194,0.0,0.0
1425,3.2930387904207827,0.14968358138276286
2187,0.0,0.0
210,0.0,0.0
258,0.0,0.0
805,1.5218784363832984,0.060875137455331935
2697,2.825351708534966,0.1765844817834354
1584,0.0,0.0
1057,0.0,0.0
2695,0.0,0.0
2355,3.076978247624997,0.16194622355921037
2986,0.0,0.0
1968,3.2930387904207827,0.12196439964521417
2905,12.752043300399313,0.5796383318363324
2145,0.0,0.0
1239,0.0,0.0
451,0.0,0.0
1101,0.0,0.0
1439,0.0,0.0
606,0.0,0.0
1128,0.0,0.0
853,0.0,0.0
1285,0.0,0.0
2829,0.0,0.0
564,0.0,0.0
402,0.0,0.0
161,0.0,0.0
1071,0.0,0.0
1156,0.0,0.0
262,2.917353639231028,0.1389216018681442
2368,0.0,0.0
1791,4.731971447288265,0.18199890181877942
2977,5.433167202282682,0.25872224772774677
1220,0.0,0.0
2080,0.0,0.0
2893,0.0,0.0
1911,0.0,0.0
283,0.0,0.0
2591,0.0,0.0
892,0.0,0.0
2242,0.0,0.0
1115,0.0,0.0
594,5.0,0.21739130434782608
2589,3.265526741676701,0.16327633708383504
665,0.0,0.0
188,5.0,0.23809523809523808
2325,0.0,0.0
890,0.0,0.0
1376,0.0,0.0
3036,0.0,0.0
1698,0.0,0.0
609,0.0,0.0
546,0.0,0.0
2965,5.297177553603875,0.40747519643106733
3004,0.0,0.0
340,3.076978247624997,0.23669063443269206
2783,3.2930387904207827,0.21953591936138553
2116,5.0,0.2777777777777778
1454,0.0,0.0
834,0.0,0.0
1209,0.0,0.0
1320,0.0,0.0
2533,0.0,0.0
1307,0.0,0.0
2316,0.0,0.0
1672,0.0,0.0
1578,0.0,0.0
1228,0.0,0.0
1023,2.323737687492116,0.10562444034055073
274,0.0,0.0
1649,0.0,0.0
1767,0.0,0.0
572,0.0,0.0
2166,5.297177553603875,0.27879881861073025
573,0.0,0.0
239,0.0,0.0
351,8.07408466951399,0.26913615565046634
167,7.808949694913261,0.48805935593207883
2020,0.0,0.0
225,3.0122124449096295,0.16734513582831276
2778,2.690198916954672,0.12228176895248509
1420,0.0,0.0
2346,3.2930387904207827,0.25331067618621406
1947,3.2930387904207827,0.15681137097241823
2330,0.0,0.0
655,0.0,0.0
1241,0.0,0.0
845,0.0,0.0
57,3.076978247624997,0.13378166294021726
49,0.0,0.0
1820,0.0,0.0
1869,0.0,0.0
420,0.0,0.0
2254,0.0,0.0
2662,5.33599328477402,0.29644407137633444
359,0.0,0.0
1993,0.0,0.0
1018,0.0,0.0
2092,3.2930387904207827,0.14968358138276286
1621,0.0,0.0
13,4.731971447288265,0.33799796052059033
2454,0.0,0.0
2469,2.825351708534966,0.18835678056899774
1169,3.0589508226895457,0.16099741172050241
1730,3.2930387904207827,0.20581492440129892
2535,0.0,0.0
2584,0.0,0.0
3020,0.0,0.0
1475,0.0,0.0
2715,3.345930725940379,0.1394137802475158
2981,0.0,0.0
3026,2.231266790104497,0.13125098765320573
3021,3.240448015015605,0.190614589118565
716,0.0,0.0
314,0.0,0.0
126,0.0,0.0
1386,2.743751580641336,0.2110578138954874
1798,0.0,0.0
1520,0.0,0.0
100,0.0,0.0
1511,0.0,0.0
2664,2.4272295087129696,0.11558235755776046
2266,3.2930387904207827,0.193708164142399
2673,0.0,0.0
828,0.0,0.0
648,0.0,0.0
1300,0.0,0.0
2838,4.641812774232289,0.3570625210947914
2775,0.0,0.0
814,0.0,0.0
1712,0.0,0.0
17,0.0,0.0
2445,0.0,0.0
1831,0.0,0.0
941,4.941634229494401,0.3801257099611078
1935,0.0,0.0
692,2.7434833662992038,0.10973933465196815
1537,0.0,0.0
2252,3.265526741676701,0.19208980833392358
353,0.0,0.0
1357,2.0817201605070803,0.16013232003900618
630,0.0,0.0
1949,5.0,0.5
1498,2.3915821930384933,0.1087082815017497
486,0.0,0.0
2680,0.0,0.0
2072,5.0,0.25
2320,0.0,0.0
622,3.2474037304569374,0.2029627331535586
2947,0.0,0.0
844,3.1269737172134215,0.13029057155055923
554,0.0,0.0
1677,2.880999590170698,0.13095452682594083
1660,0.0,0.0
883,0.0,0.0
12,0.0,0.0
305,9.401122160369297,0.33575436287033206
1992,3.0589508226895457,0.16099741172050241
1933,3.2930387904207827,0.20581492440129892
219,2.0282412495176363,0.13521608330117577
813,0.0,0.0
1647,3.2930387904207827,0.25331067618621406
1109,0.0,0.0
368,0.0,0.0
174,0.0,0.0
1438,3.2930387904207827,0.1317215516168313
2281,0.0,0.0
2542,0.0,0.0
1331,0.0,0.0
1465,1.73564377083664,0.08264970337317333
1653,3.444827554035364,0.13779310216141455
1406,0.0,0.0
236,0.0,0.0
1880,0.0,0.0
945,0.0,0.0
1616,2.3580765654715043,0.12410929291955286
2331,0.0,0.0
868,0.0,0.0
1463,0.0,0.0
1213,6.208285309542772,0.29563263378775106
1229,3.0589508226895457,0.1911844264180966
1856,0.0,0.0
